id,gid,lg,na,bid,bna,bsl,stt,st,rat,rtxt,sri,rii,mna,dtim,avd,time_estimation,ac,adb,acr,acod,cav,mav,ism,isn,isd,dls,dch,dct,tch,mcc,mtyp,trc,ttyp,sl,an,aid,cus/0/id,cus/0/na,cus/0/sl,cus/1/id,cus/1/na,cus/1/sl,css,adc,att,amt,atbt,hsp,pdto,pri,act,pmsg,ttrev,trt,trts,des,iss,finalRank,dcl,smr,htd,htc,fm,inc,itg,ipt,ipos,gtl,Lon,Lat,ius,icr,iush,ust,usicon,uscom,uscomid,sha,shc,rgrl,ida,dtxt,otxt,mofs,mdis,ipa,ptxt,mpro,iccm,isVatInc,hrd,hasv,fids/0,fids/1,fids/2,fids/3,fids/4,fids/5,fids/6,fids/7,verticalType,verticals/0,mentyp,isub,isds,prtg,ctav,spd/cat,spd/type,spd/token,sldk,cld,tpvc,prom,ismgrtd,isfof,rnk/rtrk,rnk/orrk,rnk/acrk,rnk/frrk,rnk/rork,rnk/inrk,dhcvid,isTalabatPro,is_tpro,is_tstar,tstar_desc,sponsored_rank,cus/2/id,cus/2/na,cus/2/sl,cus/3/id,cus/3/na,cus/3/sl,fids/8,fids/9,fids/10,fids/11,fids/12,fids/13,fids/14,fids/15,verticals/1,ftgs/0,cus/4/id,cus/4/na,cus/4/sl,cus/5/id,cus/5/na,cus/5/sl,verticals/2,verticals/3,verticals/4,verticals/5
477,0,taco_635962575487759333.jpg,Taco Bell,5768,"Taco Bell, Salmiya",taco-bell-salmiya,0,0,5,Awesome,true,3,5,30,Within 30 mins,30 - 40 mins,true,true,false,false,true,true,false,false,false,Open,0.5,0,0,0,0,0,0,taco-bell,,,15,Cafe,,22,Desserts,,"Cafe, Desserts, Burgers",,,,,true,1,,10/31/2012 00:00:00,,0,486 ratings,486,,false,143,,,false,false,true,false,false,false,false,autohero_Cafe_2.jpg,48.085,29.339167,true,true,true,,,Coka,1,9,2,false,true,10% OFF selected items,10% OFF selected items,0,1,true,Free Crunchy Taco Beef with orders over KD 1.45,1,false,false,false,true,62,60,32,27,623,628,36,28,0,0,1,false,false,1,0,,,,2.075,false,false,75,false,false,11,1,1,63,4,141,,false,false,false,,9999,14,Burgers,,,,,100000,100002,100003,,,,,,,,,,,,,,,,,
527,0,Pizza-Express__635804331188673599.jpg,Pizza Express,5953,"Pizza Express , Al-Bedae",pizza-express-albedae,0,0,3.9,Very good,true,2,3.9,60,Within 60 mins,60 - 70 mins,true,true,false,false,false,true,false,false,false,Open,0.5,0,0,0,0,0,0,pizza-express,,,13,Pizzas,,4,Italian,,"Pizzas, Italian",,,,,false,0,,12/12/2012 00:00:00,,0,406 ratings,406,,false,143,,,false,false,false,false,false,false,false,autohero_Pizzas_1.jpg,48.0883,29.319,false,false,false,,,,0,74,2,false,false,,,0,0,false,,0,false,false,false,true,62,28,100003,53,,,,,0,0,1,false,false,3,0,,,,3.281,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,
532,0,Pinkberry_635804353873525528.jpg,Pinkberry,5960,"Pinkberry , Salwa",pinkberry-salwa,0,0,4.2,Very good,true,2,5,15,Within 15 mins,15 - 25 mins,true,true,true,false,false,false,false,false,false,Open,1,0,0,0.25,0,0,0,pinkberry,,,12,Sandwiches,,,,,Sandwiches,,,,,true,1,,12/24/2012 00:00:00,,0,59 ratings,59,,false,143,,,false,false,false,true,false,false,false,pre-img-03_636298614756895424.jpg,48.08727,29.3028,false,false,false,,,,0,39,2,false,false,,,0,0,false,,0,false,false,false,true,62,32,36,28,29,100000,100002,100003,0,2,1,false,false,1,0,,,,4.619,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,,,,,,,53,,,,,,,,,,,,,,,,,,,
977,0,Mustard-Burger_636216412490374538.jpg,Mustard Burger,1417,"Mustard Burger, Ardhiya",mustard-burger-ardhiya,0,0,0,Normal,true,0,5,75,Within 75 mins,75 - 85 mins,true,true,true,false,false,false,false,false,false,Open,0.5,0,0,0,0,0,0,mustard-burger,,,18,American,,14,Burgers,,"American, Burgers",,,,,false,0,,10/23/2018 08:24:46,,0,No rating,No rating,,false,143,,,false,false,false,true,false,false,false,autohero_American_1.jpg,47.90876,29.2974,true,true,false,,,Coka,1,62,3,false,false,,,0,0,false,,0,false,false,false,false,62,28,29,53,,,,,0,0,1,false,false,3,0,,,,18.08,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,0,Shawarma-Matic_635586595298336528.jpg,Shawarma Matic ,1541,"Shawarma Matic , Salmiya, TGO",shawarma-matic-salmiya-tgo,0,0,0,Normal,true,0,1.75,60,Within 60 mins,60 - 70 mins,true,true,true,false,false,false,false,false,false,Open,0.25,0,0,0,0,0,0,shawarma-matic,,,332,Shawarma & Doner,,3,Lebanese,,"Shawarma & Doner, Lebanese, Sandwiches",,,,,false,0,,10/23/2018 08:24:46,,0,No rating,No rating,,false,143,,,false,false,false,true,false,true,false,autohero_Shawarma&Doner_5.jpg,48.05597,29.3366,false,false,true,,https://images.deliveryhero.io/image/talabat/restaurants/logo_cocacola.png,Coka,1,9,2,false,false,,,0,0,false,,0,false,false,false,false,62,28,29,100002,,,,,0,0,1,false,false,1,0,,,,1.172,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,12,Sandwiches,,,,,,,,,,,,,,,,,,,,,,,,
1074,0,Mr%20Flame_635181517035797156.jpg,OX Squad Rest Mr. Flame (Do not change),8030,"Mr. Flame, Sulaibikhat",mr-flame-sulaibikhat,0,0,3.6,Good,true,1,7,60,Within 60 mins,60 - 70 mins,true,true,true,false,true,false,false,false,false,Open,0.5,0,0,0,0,0,0,mr-flame,,,21,Turkish,,332,Shawarma & Doner,,"Turkish, Shawarma & Doner, Sandwiches",,,,,false,0,,02/18/2016 08:43:54,,0,55 ratings,55,,false,143,,,false,false,false,true,false,false,false,autohero_Turkish_10.jpg,48.02352930566408,29.323035312874982,true,true,false,,,Coka,1,54,1,false,true,10% OFF orders above KD 8.00,10% OFF orders above KD 8.00,0,0,false,,0,false,false,false,true,62,27,623,628,28,29,100002,53,0,0,1,false,false,1,0,,,,5.059,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,12,Sandwiches,,,,,,,,,,,,,,,,,,,,,,,,
1195,0,Herfy_Eng_635318019096807478.jpg,Sherif,11800,"Herfy, salmiya",herfy-salmiya,0,0,3.7,Good,true,1,3,60,Within 60 mins,60 - 70 mins,true,true,true,false,false,false,false,false,false,Open,0.25,0,0,0,0,0,0,herfy,,,18,American,,12,Sandwiches,,"American, Sandwiches, Burgers",,,,,false,0,,09/06/2016 22:49:19,,0,28 ratings,28,,false,143,,,false,false,false,false,false,false,false,autohero_American_10.jpg,48.0775,29.329444,false,false,false,,,,0,9,2,false,false,,,0,0,false,,0,false,false,false,true,62,28,29,100002,53,,,,0,0,1,false,false,1,0,,,,1.615,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,14,Burgers,,,,,,,,,,,,,,,,,,,,,,,,
1196,0,MR-Subs-Wraps-4_636015946098449237.jpg,Mr. Subs & Wraps,11832,"Mr. Subs & Wraps, Salmiya",mr-subs-wraps-salmiya,0,0,3.6,Good,true,1,3,60,Within 60 mins,60 - 70 mins,true,true,true,false,false,false,false,false,false,Open,0.25,0,0,0,0,0,0,mr-subs-wraps,,,12,Sandwiches,,14,Burgers,,"Sandwiches, Burgers, Shawarma & Doner",,,,,false,0,,09/11/2016 21:53:52,,0,43 ratings,43,,false,143,,,false,false,false,true,false,false,false,autohero_Sandwiches_9.jpg,48.0775,29.329444,false,false,false,,,,0,9,2,false,false,,,0,0,false,,0,false,false,false,true,62,28,29,100002,53,,,,0,0,1,false,false,1,0,,,,1.615,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,332,Shawarma & Doner,,,,,,,,,,,,,,,,,,,,,,,,
1286,0,Naif-Chicken_635804353482891512.jpg,Naif Chicken Restaurant,7425,"Naif Chicken Restaurant, Salmiya",naif-chicken-restaurant-salmiya,0,0,3.5,Good,true,1,0,89,Within 89 mins,85 - 95 mins,true,true,true,false,false,false,false,false,false,Open,0,0,0,0,0,0,0,naif-chicken-restaurant,,,12,Sandwiches,,395,Arabic,,"Sandwiches, Arabic",,,,,false,0,,12/20/2015 15:11:28,,0,279 ratings,279,,false,143,,,false,false,false,false,true,true,false,autohero_Sandwiches_10.jpg,48.056328,29.334688,false,false,false,,,,0,9,2,false,false,,,0,0,false,,0,false,false,false,true,62,26,28,29,100001,100002,100004,53,0,0,1,false,false,2,0,,,,1.196,true,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,
1328,0,Sea-Taste_635294570780909618.jpg,Sea Taste Restaurant,8271,"Sea Taste Restaurant, Salmiya",sea-taste-restaurant-salmiya,0,0,3.3,Good,true,1,6,90,Within 90 mins,90 - 100 mins,true,true,true,false,true,false,false,false,false,Open,0.5,0,0,0,0,0,0,sea-taste-restaurant,,,9,Seafood,,19,Kuwaiti,,"Seafood, Kuwaiti, Arabic",,,,,true,3,,03/16/2016 11:45:57,,0,95 ratings,95,,false,143,,,false,false,false,true,false,false,false,autohero_Seafood_2.jpg,48.07635,29.3254,false,false,false,,,,0,9,2,false,true,10% OFF selected items,10% OFF selected items,0,0,false,,0,false,false,false,true,62,32,27,623,628,28,29,,0,0,1,false,false,3,0,,,,1.854,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,395,Arabic,,,,,,,,,,,,,,,,,,,,,,,,
1505,0,Karak-Gholam_635385088768137911.jpg,Karak Gholam,13665,"Karak Gholam, Fahaheel",karak-gholam-fahaheel,0,0,2.7,Normal,true,0,3,60,Within 60 mins,60 - 70 mins,true,true,false,false,false,false,false,false,false,Open,0.3,0,0,0,0,0,0,karak-gholam,,,15,Cafe,,5,Indian,,"Cafe, Indian, Sandwiches",,,,,false,0,,02/13/2017 15:58:06,,0,2 ratings,2,,false,143,,,false,false,false,false,false,false,false,autohero_Cafe_6.jpg,48.14154800000006,29.080942,false,false,false,,,,0,9,2,false,false,,,0,0,false,,0,false,false,false,true,62,28,100002,53,,,,,0,0,1,false,false,1,0,,,,29.81,false,false,0,false,false,11,1,1,63,4,141,,true,true,false,,9999,12,Sandwiches,,,,,,,,,,,,,,,,,,,,,,,,
1650,0,Concept-Cuisine_635423994148959554.jpg,Concept Cuisine,8613,"Concept, Sharq",concept-sharq,0,0,3.8,Very good,true,2,10,75,Within 75 mins,75 - 85 mins,true,true,true,false,false,false,false,false,false,Open,0.5,0,0,0,0,0,0,concept-cuisine,,,12,Sandwiches,,,,,Sandwiches,,,,,true,4,,04/05/2016 19:33:32,,0,155 ratings,155,,false,143,,,false,false,false,false,false,false,false,picture-of-grilled-c_636811602555607506.jpg,0,0,true,true,false,,,Coka,1,48,1,false,true,10% OFF all orders,10% OFF all orders,0,0,false,,0,false,false,false,true,62,32,28,29,100002,100003,53,,0,0,1,false,false,0,0,,,,14.985,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,
2185,0,Al-Mamlaka_635591963004036852.jpg,Saveco Grocery,11630,"AL mamlakah, Salmiya",al-mamlakah-salmiya,0,0,3.1,Good,true,1,4.75,80,Within 80 mins,80 - 90 mins,true,true,true,false,false,false,false,false,false,Open,0.25,0,0,0,0,0,0,al-mamlakah,,,400,Grocery,,,,,Grocery,,,,,true,1,,08/23/2016 18:15:58,,0,34 ratings,34,,false,143,,,false,false,false,true,false,true,false,autohero_Kuwaiti_9.jpg,48.059639,29.337472,false,false,false,,,,0,9,2,false,false,,best offer,0,0,false,,0,false,false,false,true,62,638,70,32,28,29,100002,53,1,1,1,false,false,2,0,,,,0.754,false,false,0,true,false,1,9206,1,30,4,141,c55f670b-0a48-4441-b9cb-97e09d1108cd,false,false,false,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,
2285,0,Rice-to-Riches-Engli_635870925356466208.jpg,Rice to Riches,7531,"Rice to Riches, Rai",rice-to-riches-rai,0,0,3.6,Good,true,1,0,90,Within 90 mins,90 - 100 mins,true,true,true,false,false,false,false,false,false,Open,0.5,0,0,0,0,0,0,rice-to-riches,,,22,Desserts,,,,,Desserts,,,,,true,3,,12/30/2015 12:41:28,,0,154 ratings,154,,false,143,,,false,false,false,false,false,false,false,autohero_Desserts_9.jpg,47.93669,29.3028,false,false,false,,,,0,76,3,false,false,,,0,0,false,,0,false,false,false,true,62,32,28,29,100002,100004,53,,0,0,1,false,false,0,0,,,,14.931,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,
2292,0,,Baqal,7386,"Baqal , Dubai",baqal-dubai,0,0,4.3,Very good,true,2,0,15,Within 15 mins,15 - 25 mins,true,true,true,false,true,false,false,false,false,Open,0,0,0,0,0,0,0,baqal,,,703,46am4bmm2o,,,,,46am4bmm2o,,,,,true,1,,12/14/2015 00:00:00,,0,62 ratings,62,,false,143,,,false,false,false,false,false,false,false,1280px-Flag_of_Iraqs_637392300928835069.png,47.98369150000008,29.328058,true,true,true,,,Coka,1,27,1,false,true,10% OFF all orders,10% OFF all orders,0,3,false,,0,false,false,false,true,62,60,32,27,623,628,36,26,1,0,2,false,false,2,1,,,,9.247,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,,,,,,,28,29,100000,100001,100002,100003,100004,53,1,,,,,,,,,,,
2356,0,Burger-and-Kar_635620394428504804.jpg,Burger & Karak,13580,"Burger & Karak, Abu Hasaniya - Lake",burger-karak-abu-hasaniya-lake,0,0,0,Normal,true,0,5,120,Within 120 mins,120 - 130 mins,true,true,true,false,true,true,false,false,false,Open,1,0,0,0,0,0,0,burger-karak,,,14,Burgers,,15,Cafe,,"Burgers, Cafe, Breakfast",,,,,false,0,,02/01/2017 17:36:52,,0,No rating,No rating,,false,143,,,false,false,false,false,false,false,false,autohero_Burgers_9.jpg,48.103285,29.215487,false,false,false,,,,0,108,6,false,true,15% OFF orders above KD 20.00,15% OFF orders above KD 20.00,0,0,true,Free Single Chicken with orders over KD 10.00,1,false,false,false,true,62,27,623,628,28,29,53,,0,0,1,false,false,3,0,,,,14.285,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,24,Breakfast,,,,,,,,,,,,,,,,,,,,,,,,
2744,0,Emirgan-Sutis_635707054164362787.jpg,Emirgan Sutis,12320,"Emirgan Sutis, Yarmouk",emirgan-sutis-yarmouk,0,0,3.8,Very good,true,2,5,60,Within 60 mins,60 - 70 mins,true,true,true,false,false,true,false,false,false,Open,0.5,0,0,0,0,0,0,emirgan-sutis,,,21,Turkish,,,,,Turkish,,,,,false,0,,10/26/2016 00:00:00,,0,47 ratings,47,,false,143,,,false,false,false,false,false,false,false,autohero_Turkish_9.jpg,47.973953,29.307152,false,false,false,,,,0,44,1,false,false,,,0,0,false,,0,false,false,false,true,62,28,29,100003,,,,,0,0,1,false,false,3,0,,,,10.835,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,
2751,0,Khaneen-Logo_636083351401441158.jpg,Khaneen,5104,"Khaneen , Abu Halifa  levels",khaneen-abu-halifa-levels,0,0,3.3,Good,true,1,0,104,Within 104 mins,100 - 110 mins,true,true,true,false,false,false,false,false,false,Open,0,0,0,0,0,0,0,khaneen,,,19,Kuwaiti,,24,Breakfast,,"Kuwaiti, Breakfast, Arabic",,,,,false,0,,10/23/2018 08:24:46,,0,12 ratings,12,,false,143,,,false,false,false,true,true,true,false,autohero_Kuwaiti_7.jpg,48.129652,29.14238,false,false,false,,,,0,2,4,false,false,,,0,0,false,,0,false,false,false,false,62,26,28,29,100001,100002,100004,53,0,0,1,false,false,2,0,,,,22.903,true,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,395,Arabic,,,,,,,,,,,,,,,,,,,,,,,,
2816,0,Cramello_635730717615037167.jpg,Cramello Sweet,5649,"Cramello Sweet, Salwa",cramello-sweet-salwa,0,0,3.6,Good,true,1,10,75,Within 75 mins,75 - 85 mins,true,true,true,false,false,false,false,false,false,Open,0.75,0,0,0,0,0,0,cramello-sweet,,,22,Desserts,,,,,Desserts,,,,,true,5,,07/22/2015 00:00:00,,0,54 ratings,54,,false,143,,,false,false,false,false,false,false,false,autohero_Desserts_9.jpg,48.077253,29.297136,false,false,false,,,,0,39,2,false,false,,,0,0,false,,0,false,false,false,true,62,32,28,29,53,,,,0,0,1,false,false,3,0,,,,4.776,false,false,0,false,false,11,1,1,63,4,141,,false,false,false,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,
